service_pattern,category,subcategory,vendor,role,description
nginx,web_server,reverse_proxy,NGINX Inc,web,Nginx web server
apache2,web_server,http_server,Apache,web,Apache HTTP Server (Debian/Ubuntu)
httpd,web_server,http_server,Apache,web,Apache HTTP Server (RHEL/CentOS)
lighttpd,web_server,http_server,Lighttpd,web,Lighttpd web server
caddy,web_server,http_server,Caddy,web,Caddy web server
haproxy,web_server,load_balancer,HAProxy,load_balancer,HAProxy load balancer
traefik,web_server,reverse_proxy,Traefik Labs,load_balancer,Traefik reverse proxy
envoy,web_server,service_mesh,Envoy,load_balancer,Envoy service proxy
varnish,web_server,cache,Varnish,cache,Varnish HTTP accelerator
openresty,web_server,reverse_proxy,OpenResty,web,OpenResty Nginx+Lua web platform
litespeed,web_server,http_server,LiteSpeed,web,LiteSpeed web server
pound,web_server,load_balancer,Pound,load_balancer,Pound reverse proxy and load balancer
mysql,database,relational,Oracle,database,MySQL database
mysqld,database,relational,Oracle,database,MySQL database (RHEL)
mariadb,database,relational,MariaDB,database,MariaDB database
postgresql,database,relational,PostgreSQL,database,PostgreSQL database
mongod,database,nosql,MongoDB,database,MongoDB database
mongos,database,nosql,MongoDB,database,MongoDB shard router
redis-server,database,key_value,Redis,cache,Redis cache/database
redis,database,key_value,Redis,cache,Redis cache/database
memcached,database,key_value,Memcached,cache,Memcached cache
elasticsearch,search,search_engine,Elastic,search,Elasticsearch search engine
opensearch,search,search_engine,OpenSearch,search,OpenSearch search engine
solr,search,search_engine,Apache,search,Apache Solr search
clickhouse-server,database,columnar,ClickHouse,database,ClickHouse analytics database
cassandra,database,nosql,Apache,database,Apache Cassandra database
couchdb,database,nosql,Apache,database,Apache CouchDB database
influxdb,database,time_series,InfluxData,database,InfluxDB time series database
neo4j,database,graph,Neo4j,database,Neo4j graph database
arangodb,database,multi_model,ArangoDB,database,ArangoDB multi-model database
cockroach,database,relational,Cockroach Labs,database,CockroachDB distributed SQL
couchbase-server,database,nosql,Couchbase,database,Couchbase NoSQL database
scylla,database,nosql,ScyllaDB,database,ScyllaDB Cassandra-compatible database
victoriametrics,database,time_series,VictoriaMetrics,database,VictoriaMetrics time series database
mssql-server,database,relational,Microsoft,database,Microsoft SQL Server for Linux
oracle,database,relational,Oracle,database,Oracle database
rethinkdb,database,nosql,RethinkDB,database,RethinkDB real-time database
docker,container,runtime,Docker,container,Docker container runtime
containerd,container,runtime,CNCF,container,containerd container runtime
crio,container,runtime,CNCF,container,CRI-O container runtime
podman,container,runtime,Red Hat,container,Podman container runtime
kubelet,container,orchestration,CNCF,kubernetes,Kubernetes kubelet
kube-proxy,container,orchestration,CNCF,kubernetes,Kubernetes kube-proxy
kube-apiserver,container,orchestration,CNCF,kubernetes,Kubernetes API server
kube-scheduler,container,orchestration,CNCF,kubernetes,Kubernetes scheduler
kube-controller-manager,container,orchestration,CNCF,kubernetes,Kubernetes controller manager
etcd,container,distributed_kv,CNCF,kubernetes,etcd distributed key-value store
k3s,container,orchestration,Rancher,kubernetes,K3s lightweight Kubernetes
rke2,container,orchestration,Rancher,kubernetes,RKE2 Kubernetes distribution
sshd,remote_access,ssh,OpenSSH,infrastructure,SSH daemon
ssh,remote_access,ssh,OpenSSH,infrastructure,SSH daemon (alternative)
vsftpd,remote_access,ftp,vsftpd,file_server,vsftpd FTP server
proftpd,remote_access,ftp,ProFTPD,file_server,ProFTPD FTP server
pure-ftpd,remote_access,ftp,Pure-FTPd,file_server,Pure-FTPd FTP server
xrdp,remote_access,rdp,xrdp,infrastructure,xRDP remote desktop
vnc,remote_access,vnc,VNC,infrastructure,VNC remote desktop
x11vnc,remote_access,vnc,x11vnc,infrastructure,x11vnc remote desktop
tigervnc,remote_access,vnc,TigerVNC,infrastructure,TigerVNC remote desktop
rsyslog,logging,syslog,Rsyslog,logging,Rsyslog daemon
syslog-ng,logging,syslog,Syslog-ng,logging,Syslog-ng daemon
fluentd,logging,log_shipper,Fluentd,logging,Fluentd log collector
fluent-bit,logging,log_shipper,Fluent Bit,logging,Fluent Bit log processor
filebeat,logging,log_shipper,Elastic,logging,Filebeat log shipper
logstash,logging,log_pipeline,Elastic,logging,Logstash log pipeline
splunkd,logging,siem,Splunk,logging,Splunk daemon
SplunkForwarder,logging,log_shipper,Splunk,logging,Splunk Universal Forwarder
promtail,logging,log_shipper,Grafana,logging,Promtail log shipper for Loki
vector,logging,log_shipper,Datadog,logging,Vector log/metrics pipeline
loki,logging,log_aggregator,Grafana,logging,Grafana Loki log aggregation
prometheus,monitoring,metrics,Prometheus,monitoring,Prometheus metrics
grafana-server,monitoring,visualization,Grafana,monitoring,Grafana dashboard
node_exporter,monitoring,metrics_exporter,Prometheus,monitoring,Prometheus node exporter
blackbox_exporter,monitoring,metrics_exporter,Prometheus,monitoring,Prometheus blackbox exporter
alertmanager,monitoring,alerting,Prometheus,monitoring,Prometheus Alertmanager
zabbix_agentd,monitoring,agent,Zabbix,monitoring,Zabbix monitoring agent
zabbix_server,monitoring,server,Zabbix,monitoring,Zabbix monitoring server
nagios,monitoring,server,Nagios,monitoring,Nagios monitoring
telegraf,monitoring,metrics,InfluxData,monitoring,Telegraf metrics collector
collectd,monitoring,metrics,collectd,monitoring,collectd metrics daemon
netdata,monitoring,metrics,Netdata,monitoring,Netdata real-time monitoring
icinga2,monitoring,server,Icinga,monitoring,Icinga 2 monitoring
datadog-agent,monitoring,agent,Datadog,monitoring,Datadog monitoring agent
newrelic-infra,monitoring,agent,New Relic,monitoring,New Relic infrastructure agent
falcon-sensor,security,edr,CrowdStrike,security,CrowdStrike Falcon sensor
mdatp,security,edr,Microsoft,security,Microsoft Defender for Endpoint
cbagentd,security,edr,Carbon Black,security,Carbon Black agent
cbdaemon,security,edr,Carbon Black,security,Carbon Black daemon
sentinelone,security,edr,SentinelOne,security,SentinelOne agent
ds_agent,security,edr,Trend Micro,security,Trend Micro Deep Security agent
sophos-av,security,antivirus,Sophos,security,Sophos Antivirus
clamd,security,antivirus,ClamAV,security,ClamAV daemon
clamav-daemon,security,antivirus,ClamAV,security,ClamAV daemon (Debian)
wazuh-agent,security,hids,Wazuh,security,Wazuh agent
wazuh-manager,security,hids,Wazuh,security,Wazuh manager
ossec,security,hids,OSSEC,security,OSSEC HIDS
fail2ban,security,ips,Fail2ban,security,Fail2ban intrusion prevention
suricata,security,ids,Suricata,security,Suricata IDS/IPS
snort,security,ids,Snort,security,Snort IDS
auditd,security,audit,Linux,security,Linux audit daemon
apparmor,security,mac,Linux,security,AppArmor mandatory access control
vault,security,secrets,HashiCorp,security,HashiCorp Vault secrets management
openscap,security,compliance,NIST,security,OpenSCAP compliance scanner
lynis,security,audit,CISOfy,security,Lynis security auditing
qualys-cloud-agent,security,vulnerability,Qualys,security,Qualys cloud agent
nessus,security,vulnerability,Tenable,security,Nessus vulnerability scanner
firewalld,network,firewall,Firewalld,firewall,Firewalld firewall
ufw,network,firewall,UFW,firewall,UFW firewall
nftables,network,firewall,nftables,firewall,nftables firewall
iptables,network,firewall,iptables,firewall,iptables firewall
named,network,dns,ISC,dns,BIND DNS server
bind9,network,dns,ISC,dns,BIND9 DNS server
unbound,network,dns,NLnet Labs,dns,Unbound DNS resolver
dnsmasq,network,dns,Dnsmasq,dns,Dnsmasq DNS/DHCP
